date,total_sales,day_of_week,month_name,day,year
2016-07-03,1246.9,Sunday,July,3,2016
2016-07-04,734.9,Monday,July,4,2016
2016-07-05,982.6,Tuesday,July,5,2016
2016-07-06,1200.0,Wednesday,July,6,2016
2016-07-07,980.4,Thursday,July,7,2016
2016-07-08,1096.6,Friday,July,8,2016
2016-07-09,2522.7,Saturday,July,9,2016
2016-07-10,1555.5,Sunday,July,10,2016
2016-07-11,874.0,Monday,July,11,2016
2016-07-12,1102.3,Tuesday,July,12,2016
2016-07-13,1086.35,Wednesday,July,13,2016
2016-07-14,827.8,Thursday,July,14,2016
2016-07-15,1480.2,Friday,July,15,2016
2016-07-16,1942.3,Saturday,July,16,2016
2016-07-17,1221.3,Sunday,July,17,2016
2016-07-18,1121.75,Monday,July,18,2016
2016-07-19,827.45,Tuesday,July,19,2016
2016-07-20,1242.1,Wednesday,July,20,2016
2016-07-21,952.5,Thursday,July,21,2016
2016-07-22,1324.2,Friday,July,22,2016
2016-07-23,1076.9,Saturday,July,23,2016
2016-07-24,1791.45,Sunday,July,24,2016
2016-07-25,1453.25,Monday,July,25,2016
2016-07-26,858.2,Tuesday,July,26,2016
2016-07-27,1103.65,Wednesday,July,27,2016
2016-07-28,943.4,Thursday,July,28,2016
2016-07-29,1338.9,Friday,July,29,2016
2016-07-30,2438.7,Saturday,July,30,2016
2016-07-31,1583.4,Sunday,July,31,2016
2016-08-01,618.7,Monday,August,1,2016
2016-08-02,952.55,Tuesday,August,2,2016
2016-08-03,1126.6,Wednesday,August,3,2016
2016-08-04,704.4,Thursday,August,4,2016
2016-08-05,838.65,Friday,August,5,2016
2016-08-06,1831.0,Saturday,August,6,2016
2016-08-07,1075.25,Sunday,August,7,2016
2016-08-08,470.6,Monday,August,8,2016
2016-08-09,954.3,Tuesday,August,9,2016
2016-08-10,1212.1,Wednesday,August,10,2016
2016-08-11,767.6,Thursday,August,11,2016
2016-08-12,1007.8,Friday,August,12,2016
2016-08-13,1319.7,Saturday,August,13,2016
2016-08-14,1531.0,Sunday,August,14,2016
2016-08-15,1438.2,Monday,August,15,2016
2016-08-16,735.7,Tuesday,August,16,2016
2016-08-17,916.3,Wednesday,August,17,2016
2016-08-18,986.15,Thursday,August,18,2016
2016-08-19,858.9,Friday,August,19,2016
2016-08-20,1781.1,Saturday,August,20,2016
2016-08-21,1516.45,Sunday,August,21,2016
2016-08-22,685.95,Monday,August,22,2016
2016-08-23,756.2,Tuesday,August,23,2016
2016-08-24,1243.3,Wednesday,August,24,2016
