date,total_sales,day_of_week
2016-11-17,1097.0,Thursday
2016-11-18,3213.35,Friday
2016-11-19,6840.5,Saturday
2016-11-20,6769.6,Sunday
2016-11-21,387.6,Monday
2016-11-22,383.4,Tuesday
2016-11-23,649.0,Wednesday
2016-11-24,905.7,Thursday
2016-11-25,3776.5,Friday
2016-11-26,7777.1,Saturday
2016-11-27,5368.25,Sunday
2016-11-28,421.3,Monday
2016-11-29,649.6,Tuesday
2016-11-30,1531.7,Wednesday
2016-12-01,1207.85,Thursday
2016-12-02,2488.7,Friday
2016-12-03,6662.85,Saturday
2016-12-04,6153.2,Sunday
2016-12-05,2620.85,Monday
2016-12-06,4060.6,Tuesday
2016-12-07,1449.65,Wednesday
2016-12-08,4930.55,Thursday
2016-12-09,4003.5,Friday
2016-12-10,5585.75,Saturday
2016-12-11,3895.9,Sunday
2016-12-12,804.6,Monday
2016-12-13,699.6,Tuesday
2016-12-14,1179.35,Wednesday
2016-12-15,1727.5,Thursday
2016-12-16,3346.35,Friday
2016-12-17,6054.9,Saturday
2016-12-18,5218.95,Sunday
2016-12-19,672.2,Monday
2016-12-20,3118.84,Tuesday
2016-12-21,2104.9,Wednesday
2016-12-22,2968.25,Thursday
2016-12-23,4400.0,Friday
2016-12-24,1324.7,Saturday
2016-12-25,3225.6,Sunday
2016-12-26,5268.35,Monday
2016-12-27,4508.4,Tuesday
2016-12-28,4306.0,Wednesday
2016-12-29,4145.1,Thursday
2016-12-30,4622.3,Friday
2016-12-31,798.2,Saturday
2017-01-01,3312.7,Sunday
2017-01-02,5114.2,Monday
2017-01-03,4863.45,Tuesday
2017-01-04,4926.95,Wednesday
2017-01-05,2612.45,Thursday
2017-01-06,4232.9,Friday
2017-01-07,6464.35,Saturday
2017-01-08,3933.95,Sunday
2017-01-09,959.8,Monday
2017-01-10,574.85,Tuesday
2017-01-11,1106.4,Wednesday
2017-01-12,781.8,Thursday
2017-01-13,2745.7,Friday
2017-01-14,7606.2,Saturday
2017-01-15,4714.15,Sunday
2017-01-16,659.3,Monday
2017-01-17,687.75,Tuesday
2017-01-18,450.6,Wednesday
2017-01-19,928.9,Thursday
2017-01-20,2687.6,Friday
2017-01-21,8233.0,Saturday
2017-01-22,5898.7,Sunday
2017-01-23,888.35,Monday
2017-01-24,1065.1,Tuesday
2017-01-25,1485.7,Wednesday
2017-01-26,749.3,Thursday
2017-01-27,3087.15,Friday
2017-01-28,8542.6,Saturday
2017-01-29,5807.8,Sunday
2017-01-30,694.6,Monday
2017-01-31,493.5,Tuesday
2017-02-01,1362.15,Wednesday
2017-02-02,817.7,Thursday
2017-02-03,3839.2,Friday
2017-02-04,9545.8,Saturday
2017-02-05,6178.0,Sunday
2017-02-06,483.4,Monday
2017-02-07,775.05,Tuesday
2017-02-08,838.45,Wednesday
2017-02-09,791.65,Thursday
2017-02-10,3448.8,Friday
2017-02-11,9207.1,Saturday
2017-02-12,7308.7,Sunday
2017-02-13,509.5,Monday
2017-02-14,1124.45,Tuesday
2017-02-15,753.35,Wednesday
2017-02-16,1983.7,Thursday
2017-02-17,3461.45,Friday
2017-02-18,7437.6,Saturday
2017-02-19,5000.7,Sunday
2017-02-20,736.0,Monday
2017-02-21,533.9,Tuesday
2017-02-22,522.2,Wednesday
2017-02-23,991.2,Thursday
2017-02-24,2700.6,Friday
2017-02-25,6126.4,Saturday
2017-02-26,5108.55,Sunday
2017-02-27,929.75,Monday
2017-02-28,915.45,Tuesday
2017-03-01,906.85,Wednesday
2017-03-02,953.7,Thursday
2017-03-03,4419.8,Friday
2017-03-04,9594.25,Saturday
2017-03-05,5324.5,Sunday
2017-03-06,392.0,Monday
2017-03-07,516.5,Tuesday
2017-03-08,532.35,Wednesday
2017-03-09,4512.8,Thursday
2017-03-10,2021.5,Friday
2017-03-11,5952.9,Saturday
2017-03-12,4355.8,Sunday
2017-03-13,577.9,Monday
2017-03-14,375.6,Tuesday
2017-03-15,388.8,Wednesday
2017-03-16,754.35,Thursday
2017-03-17,2011.5,Friday
2017-03-18,3755.2,Saturday
2017-03-19,4434.6,Sunday
2017-03-20,2519.5,Monday
2017-03-21,276.15,Tuesday
2017-03-22,1131.45,Wednesday
2017-03-23,294.35,Thursday
2017-03-24,3274.9,Friday
2017-03-25,8721.25,Saturday
2017-03-26,5512.35,Sunday
2017-03-27,1213.25,Monday
2017-03-28,442.5,Tuesday
2017-03-29,876.0,Wednesday
2017-03-30,1171.8,Thursday
2017-03-31,4385.15,Friday
2017-04-01,5754.15,Saturday
2017-04-02,3564.7,Sunday
2017-04-03,405.5,Monday
2017-04-04,184.5,Tuesday
2017-04-05,699.0,Wednesday
2017-04-06,1376.55,Thursday
2017-04-07,2934.95,Friday
2017-04-08,2913.15,Saturday
2017-04-09,2454.4,Sunday
2017-04-10,1491.0,Monday
2017-04-11,1356.8,Tuesday
2017-04-12,1688.9,Wednesday
2017-04-13,2988.0,Thursday
2017-04-14,2698.65,Friday
2017-04-15,3243.6,Saturday
2017-04-16,2005.2,Sunday
2017-04-17,704.35,Monday
2017-04-18,351.5,Tuesday
2017-04-19,672.5,Wednesday
2017-04-20,413.75,Thursday
2017-04-21,2434.9,Friday
2017-04-22,6562.15,Saturday
2017-04-23,3474.9,Sunday
2017-04-24,352.0,Monday
2017-04-25,538.6,Tuesday
2017-04-26,808.5,Wednesday
2017-04-27,1121.9,Thursday
2017-04-28,2672.0,Friday
2017-04-29,5934.15,Saturday
2017-04-30,6469.55,Sunday
2017-05-01,3983.45,Monday
2017-05-02,1956.8,Tuesday
2017-05-03,191.7,Wednesday
2017-05-04,659.0,Thursday
