date,day_type,holiday_type,holiday_name
2021-03-28,domingo,,
2021-03-29,laborable,,
2021-03-30,laborable,,
2021-03-31,laborable,,
2021-04-01,festivo,Festivo de la comunidad de Madrid,Jueves Santo
2021-04-02,festivo,Festivo nacional,Viernes Santo
2021-04-03,sábado,,
2021-04-04,domingo,,
2021-04-05,laborable,,
2021-04-06,laborable,,
2021-04-07,laborable,,
2021-04-08,laborable,,
2021-04-09,laborable,,
2021-04-10,sábado,,
2021-04-11,domingo,,
2021-04-12,laborable,,
2021-04-13,laborable,,
2021-04-14,laborable,,
2021-04-15,laborable,,
2021-04-16,laborable,,
2021-04-17,sábado,,
2021-04-18,domingo,,
2021-04-19,laborable,,
2021-04-20,laborable,,
2021-04-21,laborable,,
2021-04-22,laborable,,
2021-04-23,laborable,,
2021-04-24,sábado,,
2021-04-25,domingo,,
2021-04-26,laborable,,
2021-04-27,laborable,,
2021-04-28,laborable,,
2021-04-29,laborable,,
2021-04-30,laborable,,
2021-05-01,festivo,Festivo nacional,Fiesta del Trabajo
2021-05-02,domingo,,
2021-05-03,festivo,Festivo de la comunidad de Madrid,Traslado Fiesta de la Comunidad de Madrid
2021-05-04,laborable,,
2021-05-05,laborable,,
2021-05-06,laborable,,
2021-05-07,laborable,,
2021-05-08,sábado,,
2021-05-09,domingo,,
2021-05-10,laborable,,
2021-05-11,laborable,,
